,posicion_medicina,posicion_categoria,titulo_medicina,titulo_articulo,peso
0,0,1,Ullrich congenital muscular dystrophy,Ullrich's congenital atonic sclerotic muscular dystrophy. A case report,42.857142857142854
1,0,2,Ullrich congenital muscular dystrophy,A clinical and histological study of Ullrich's disease (congenital atonic-sclerotic muscular dystrophy),33.33333333333333
2,0,4,Ullrich congenital muscular dystrophy,Congenital muscular dystrophies and unstructured congenital myopathies,50.0
3,0,5,Ullrich congenital muscular dystrophy,"Congenital, hypotonic-sclerotic muscular dystrophy",60.00000000000001
4,0,6,Ullrich congenital muscular dystrophy,Congenital atonic-sclerotic muscular dystrophy (Ullrich type),50.0
5,0,7,Ullrich congenital muscular dystrophy,Cyclosporine A in Ullrich Congenital Muscular Dystrophy: Long-Term Results,25.0
6,0,11,Ullrich congenital muscular dystrophy,Transcriptome profiling identifies regulators of pathogenesis in collagen VI related muscular dystrophy.,25.0
7,0,13,Ullrich congenital muscular dystrophy,Dystrophin-glycoproteins associated in congenital muscular dystrophy: immunohistochemical analysis of 59 Brazilian cases Complexo distrofina-glicoproteínas associadas na distrofia muscular congênita: análise imuno-histoquímica em 59 casos,17.64705882352941
8,0,42,Ullrich congenital muscular dystrophy,METHOD FOR ADJUSTING A HEARING DEVICE AS WELL AS AN ARRANGEMENT FOR ADJUSTING A HEARING DEVICE,16.666666666666664
9,0,124,Ullrich congenital muscular dystrophy,"Los Altos teen co-stars in Netflix series, aims to be role model ...",14.285714285714285
10,0,125,Ullrich congenital muscular dystrophy,Muscular dystrophy was no barrier to Sarah's dream career in ...,40.0
11,0,133,Ullrich congenital muscular dystrophy,Expression of c-myc oncogene in colorectal polyps as a biological marker for monitoring malignant potential,10.0
12,0,150,Ullrich congenital muscular dystrophy,A lack of direct role of hepatitis B virus in the activation of ras and c-myc oncogenes in human hepatocellular carcinogenesis,8.333333333333332
13,0,152,Ullrich congenital muscular dystrophy,Dietary vitamin A and the risk of intraepithelial and invasive cervical neoplasia,12.5
14,0,198,Ullrich congenital muscular dystrophy,DNA methylation by N-nitrosomethylbenzylamine in target and non-target tissues of laboratory rodents. Comparison with carcinogenicity,8.333333333333332
15,0,221,Ullrich congenital muscular dystrophy,Properties of the H-4-II-E tumor cell system. I. Growth and cell proliferation kinetics of an experimental hepatoma,10.0
16,0,222,Ullrich congenital muscular dystrophy,Improvement of pancreatic cancer model by modified treatment with N-nitroso-bis (2-oxopropyl) amine,11.11111111111111
17,0,364,Ullrich congenital muscular dystrophy,Congenital spinal deformity in a three generation family,20.0
18,0,390,Ullrich congenital muscular dystrophy,Congenital sinuses of the lower lip: reappraisal of Van der Woude syndrome on the basis of nine patients,11.11111111111111
19,0,394,Ullrich congenital muscular dystrophy,Congenital cardiac tumors in association with orofacial clefts,16.666666666666664
20,0,410,Ullrich congenital muscular dystrophy,Congenital anomalies in American Indians of British Columbia,33.33333333333333
21,0,417,Ullrich congenital muscular dystrophy,Congenital anomalies in patients with choanal atresia: CHARGE-association,14.285714285714285
22,0,429,Ullrich congenital muscular dystrophy,Sauna and congenital defects,33.33333333333333
23,0,432,Ullrich congenital muscular dystrophy,Preliminary study of the effects of carbamazepine on congenital orofacial defects in offspring of A/J mice,20.0
24,0,435,Ullrich congenital muscular dystrophy,Design of a postdoctoral training program in the treatment of children with congenital orofacial clefts,12.5
25,0,436,Ullrich congenital muscular dystrophy,Psychosocial considerations in the dental treatment of individuals with congenital orofacial clefting: a summary for clinicians,10.0
26,0,465,Ullrich congenital muscular dystrophy,Incidence Assessment of MTHFR C677T and A1298C Polymorphisms in Iranian Non-syndromic Cleft Lip and/or Palate Patients,12.5
27,0,469,Ullrich congenital muscular dystrophy,Pattern of congenital heart defects among children with orofacial clefts in Northern Nigeria,14.285714285714285
28,0,473,Ullrich congenital muscular dystrophy,A survey of congenital heart disease and other organic malformations associated with different types of orofacial clefts in Eastern China.,9.090909090909092
29,0,494,Ullrich congenital muscular dystrophy,Congenital anomalies associated with syndromic and non-syndromic cleft lip and palate,14.285714285714285
30,1,3,obsolete JMP syndrome,"Ullrich syndrome: a hypotonic disorder of early infancy, difficult to define as an entity",14.285714285714285
31,1,178,obsolete JMP syndrome,A case of double malignant neoplasms with posthepatitis aplastic anemia and Stevens-Johnson-like syndrome induced by drugs,10.0
32,1,198,obsolete JMP syndrome,DNA methylation by N-nitrosomethylbenzylamine in target and non-target tissues of laboratory rodents. Comparison with carcinogenicity,8.333333333333332
33,1,221,obsolete JMP syndrome,Properties of the H-4-II-E tumor cell system. I. Growth and cell proliferation kinetics of an experimental hepatoma,10.0
34,1,222,obsolete JMP syndrome,Improvement of pancreatic cancer model by modified treatment with N-nitroso-bis (2-oxopropyl) amine,11.11111111111111
35,1,375,obsolete JMP syndrome,Spondylocostal dysostosis. An easily recognizable syndrome with a difficult genetic counselling (author's transl),11.11111111111111
