,Unnamed: 0,link,title,abstract,authors,keywords,fuente,categoria,key,categoria1,categoria2
0,0,http://dialog.proquest.com/professional/docview/596148223?accountid=173210,A new case of Ullrich's disease,"A new case of congenital, hypotonic-sclerotic muscular dystrophy is presented. The patient showed congenital hyperlaxity and looseness of distal joints, muscle weakness, and spur-like protrusion of the calcaneus. Afterwards rapid progressive contractures of both knees and hip joints developed. Muscle biopsies revealed unequivocal dystrophic abnormalities and small atrophic fibers with numerous foldings of basal lamina suggestive of a neurogenic lesion. The disease presents clinical variability but the diagnosis is possible when a newborn shows: no dominant family history, slender body, marked distal joint laxity and hyperflexibility, proximal joint contractures and normal or slightly increased serum enzymes.","['Santoro, L', 'Marmo, C', 'Gasparo-Rippa, P', 'Toscano, A', 'Sadile, F', 'Barbieri, F']","['Child, Preschool', 'Hip Contracture', 'Hip Contracture', 'Humans', 'Joint Instability', 'Joint Instability', 'Knee Joint', 'Kyphosis', 'Kyphosis', 'Male', 'Microscopy, Electron', 'Muscles', 'Muscles', 'Muscular Dystrophies', 'Radiography', 'Scoliosis', 'Scoliosis']",ProQuest,"['sensors', 'medical images', 'optical fibers', 'computerized tomography']",Ullrich congenital muscular dystrophy,"['new', 'case', 'disease']","['new', 'case', 'congenital', 'hypotonic', 'sclerotic', 'muscular', 'dystrophy', 'patient', 'congenital', 'hyperlaxity', 'looseness', 'distal', 'joints', 'muscle', 'weakness', 'spur', 'like', 'protrusion', 'calcaneus', 'rapid', 'progressive', 'contractures', 'knees', 'hip', 'joints', 'Muscle', 'biopsies', 'unequivocal', 'dystrophic', 'abnormalities', 'small', 'atrophic', 'fibers', 'numerous', 'foldings', 'basal', 'lamina', 'suggestive', 'neurogenic', 'lesion', 'disease', 'clinical', 'variability', 'diagnosis', 'possible', 'newborn', 'dominant', 'family', 'history', 'slender', 'body', 'distal', 'joint', 'laxity', 'hyperflexibility', 'proximal', 'joint', 'contractures', 'normal', 'serum', 'enzymes']"
1,1,http://dialog.proquest.com/professional/docview/596143016?accountid=173210,Ullrich's congenital atonic sclerotic muscular dystrophy. A case report,"A 5-year old girl with Ullrich's atonic-sclerotic muscular dystrophy is reported and 16 previously reported cases are reviewed. The clinical features, in particular proximal contractures, distal hyperextensibility, mild dysmorphism and hyperhidrosis, allow recognition of this subtype of congenital muscular dystrophy, which has no specific pathological characteristics. There is evidence in favour of an autosomal recessive mode of inheritance.","['De Paillette, L', 'Aicardi, J', 'Goutières, F']","['Child, Preschool', 'Female', 'Humans', 'Male', 'Muscular Dystrophies', 'Muscular Dystrophies']",ProQuest,"['feature space', 'recognition algorithm', 'classification methods', 'cryptography', 'character recognition', 'face recognition', 'pattern recognition', 'modes of operation']",Ullrich congenital muscular dystrophy,"['congenital', 'atonic', 'sclerotic', 'muscular', 'dystrophy', 'case', 'report']","['old', 'girl', 'atonic', 'sclerotic', 'muscular', 'dystrophy', 'cases', 'clinical', 'features', 'particular', 'proximal', 'contractures', 'distal', 'hyperextensibility', 'mild', 'dysmorphism', 'hyperhidrosis', 'recognition', 'subtype', 'congenital', 'muscular', 'dystrophy', 'specific', 'pathological', 'characteristics', 'evidence', 'favour', 'autosomal', 'recessive', 'mode', 'inheritance']"
2,2,http://dialog.proquest.com/professional/docview/591147820?accountid=173210,A clinical and histological study of Ullrich's disease (congenital atonic-sclerotic muscular dystrophy),"Clinical characteristics recognized in five cases with Ullrich's disease included muscle weakness and wasting, striking contracture of proximal (sclerotic) joints and hyperflexibility of distal (atonic) joints since an early infantile stage, and slowly progressive course. The biopsied muscles demonstrated myopathic changes including a remarkable variation in fiber size, notably proliferated endomysial connective tissue, increased myofibers with centralized nuclei and a few necrotic fibers with active phagocytosis. On histochemical examination, no specific intracytoplasmic structural abnormalities such as nemaline bodies, cores and myotubes were recognized. Although both type 1 and 2 fibers were distributed in checkerboard pattern in most muscle fascicles, type 1 fiber predominance or type 2 fiber deficiency was common in severely damaged muscles, suggesting the presence of some kind of neural influence exerting on the myopathic process as the disease progressed. Since it still remains uncertain whether this disorder belongs to the muscular dystrophies, or to other neuromuscular or mesodermal diseases, we would rather label it Ullrich's disease then Ullrich's muscular ""dystrophy"" until its pathogenesis becomes clear.","['Nonaka, I', 'Une, Y', 'Ishihara, T', 'Miyoshino, S', 'Nakashima, T', 'Sugita, H']","['Adolescent', 'Child', 'Contracture', 'Diagnosis, Differential', 'Elbow Joint', 'Forearm', 'Hip Joint', 'Humans', 'Knee Joint', 'Male', 'Muscles', 'Muscular Dystrophies', 'Muscular Dystrophies', 'Shoulder Joint', 'Syndrome', 'Thigh']",ProQuest,"['single-mode optical fiber', 'distributed architecture', 'optical fibers', 'optical materials', 'multimode fibers', 'centralized architecture', 'sensors', 'single mode fibers', 'optical fibre']",Ullrich congenital muscular dystrophy,"['clinical', 'histological', 'study', 'disease', 'congenital', 'atonic', 'sclerotic', 'muscular', 'dystrophy']","['Clinical', 'characteristics', 'cases', 'disease', 'muscle', 'weakness', 'wasting', 'contracture', 'proximal', 'sclerotic', 'joints', 'hyperflexibility', 'distal', 'atonic', 'joints', 'early', 'infantile', 'stage', 'progressive', 'course', 'biopsied', 'muscles', 'myopathic', 'changes', 'remarkable', 'variation', 'fiber', 'size', 'endomysial', 'connective', 'tissue', 'myofibers', 'centralized', 'nuclei', 'few', 'necrotic', 'fibers', 'active', 'phagocytosis', 'histochemical', 'examination', 'specific', 'intracytoplasmic', 'structural', 'abnormalities', 'such', 'nemaline', 'bodies', 'cores', 'myotubes', 'type', 'fibers', 'checkerboard', 'pattern', 'most', 'muscle', 'fascicles', 'type', 'fiber', 'predominance', 'type', 'fiber', 'deficiency', 'common', 'muscles', 'presence', 'kind', 'neural', 'influence', 'myopathic', 'process', 'disease', 'uncertain', 'disorder', 'muscular', 'dystrophies', 'other', 'neuromuscular', 'mesodermal', 'diseases', 'disease', 'muscular', 'dystrophy', 'pathogenesis', 'clear']"
3,3,http://dialog.proquest.com/professional/docview/590955614?accountid=173210,"Ullrich syndrome: a hypotonic disorder of early infancy, difficult to define as an entity","Three cases, a female and two males, with the diagnosis of Ullrich syndrome are presented. Major clinical findings included congenital hypotonia, joint contractures, high-arched palate, prominent calcaneus, scoliosis, hyperhidrosis and normal intelligence. The course was not progressive or even underwent slow improvement. Our cases followed the autosomal recessive pattern of inheritance. Muscle enzymes were all within the normal ranges. EMG showed findings that were consistent with a chronic myogenic pattern. Muscle biopsy revealed variation in the size of muscle fiber diameters and large increase of the connective tissue without evidence of dystrophic changes. We consider Ullrich syndrome as a nonspecific muscle disturbance of unexplained nature, related, but not identical, to both congenital muscular dystrophy and myogenic type of arthrogryposis multiplex congenita.","['Aparicio Meix, J M', 'Pascual-Castroviejo, I']","['Calcaneus', 'Child', 'Child, Preschool', 'Contracture', 'Female', 'Genes, Recessive', 'Humans', 'Infant', 'Male', 'Muscle Hypotonia', 'Muscle Hypotonia', 'Palate', 'Syndrome']",ProQuest,"['single-mode optical fiber', 'wavelength division multiplexing', 'fiber optic networks', 'optical fibers', 'optical materials', 'multimode fibers', 'frequency division multiplexing', 'sensors', 'time division multiplexing', 'single mode fibers', 'optical fibre']",Ullrich congenital muscular dystrophy,"['syndrome', 'hypotonic', 'disorder', 'early', 'infancy', 'difficult', 'entity']","['cases', 'female', 'males', 'diagnosis', 'syndrome', 'Major', 'clinical', 'findings', 'congenital', 'hypotonia', 'joint', 'contractures', 'palate', 'prominent', 'calcaneus', 'scoliosis', 'hyperhidrosis', 'normal', 'intelligence', 'course', 'progressive', 'underwent', 'slow', 'improvement', 'cases', 'autosomal', 'recessive', 'pattern', 'inheritance', 'Muscle', 'enzymes', 'normal', 'ranges', 'findings', 'consistent', 'chronic', 'myogenic', 'pattern', 'Muscle', 'biopsy', 'variation', 'size', 'muscle', 'fiber', 'diameters', 'large', 'increase', 'connective', 'tissue', 'evidence', 'dystrophic', 'changes', 'syndrome', 'nonspecific', 'muscle', 'disturbance', 'unexplained', 'nature', 'identical', 'congenital', 'muscular', 'dystrophy', 'myogenic', 'type', 'arthrogryposis', 'multiplex', 'congenita']"
4,4,http://dialog.proquest.com/professional/docview/590888071?accountid=173210,Congenital muscular dystrophies and unstructured congenital myopathies,"A satisfactory nosological classification of all congenital myopathies without structural characteristics is not yet available. The term ""congenital dystrophy"" does not describe one but at least three disease states, of which the Fukuyama type and the Ullrich type are entities defined by clinical and morphological criteria. Some patients with nonprogressive dystrophic changes may show marked abnormalities in size and distribution of fiber types. ""Congenital fiber type disproportions"" has been defined as a pattern with many small type I fibers and few large type II fibers. A similar pattern can be found in the rigid spine syndrome. Other abnormal histometric patterns (e.g. predominance of small and large type I fibers, type II fiber atrophy in combination with congestive cardiomyopathy) are not infrequently encountered. The application of a prefabricated diagnostic label should be reserved for cases fulfilling strictly defined morphological and clinical definitions. In the rest, objective description of findings may still be the only appropriate diagnostic approach.","['Lenard, H G', 'Goebel, H H']","['Biopsy', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Male', 'Muscles', 'Muscular Diseases', 'Muscular Diseases', 'Muscular Diseases', 'Muscular Dystrophies', 'Muscular Dystrophies', 'Muscular Dystrophies']",ProQuest,"['single-mode optical fiber', 'classification methods', 'optical fibers', 'optical materials', 'multimode fibers', 'classification models', 'sensors', 'single mode fibers', 'optical fibre']",Ullrich congenital muscular dystrophy,"['Congenital', 'muscular', 'dystrophies', 'unstructured', 'congenital', 'myopathies']","['satisfactory', 'nosological', 'classification', 'congenital', 'myopathies', 'structural', 'characteristics', 'available', 'term', 'congenital', 'dystrophy', 'disease', 'states', 'type', 'type', 'entities', 'clinical', 'morphological', 'criteria', 'patients', 'nonprogressive', 'dystrophic', 'changes', 'marked', 'abnormalities', 'size', 'distribution', 'fiber', 'types', 'Congenital', 'fiber', 'type', 'disproportions', 'pattern', 'many', 'small', 'type', 'fibers', 'few', 'large', 'type', 'fibers', 'similar', 'pattern', 'rigid', 'spine', 'syndrome', 'Other', 'abnormal', 'histometric', 'patterns', 'e.g.', 'predominance', 'small', 'large', 'type', 'fibers', 'type', 'fiber', 'atrophy', 'combination', 'congestive', 'cardiomyopathy', 'application', 'diagnostic', 'label', 'cases', 'morphological', 'clinical', 'definitions', 'rest', 'objective', 'description', 'findings', 'only', 'appropriate', 'diagnostic', 'approach']"
5,5,http://dialog.proquest.com/professional/docview/589610921?accountid=173210,"Congenital, hypotonic-sclerotic muscular dystrophy","Four cases of congenital, hypotonic-sclerotic muscular dystrophy are presented. The patients showed clinically prominent features described by Ullrich, i.e. congenital muscle weakness, hypotonia, and hyperextensibility of distal joints, contractures of proximal joints, high-arched palate, hyperhidrosis, posterior protrusion of calcaneus, and no progression. Muscle biopsies revealed dystrophic changes. Ullrich suggested that this condition was a new entity, but the disease has received little attention. In the present cases superior intelligence and tendency to recurrent upper respiratory tract infections were stressed as characteristics of this disorder. Insufficient cellular immunity was suspected and this may contribute to the recurrent upper respiratory tract infections and pneumonia often observed. This disease is considered a distinct entity of multisystemic involvement inherited as an autosomal recessive trait.","['Furukawa, T', 'Toyokura, Y']","['Adolescent', 'Child', 'Chromosome Aberrations', 'Chromosome Disorders', 'Female', 'Genes, Recessive', 'Humans', 'Hyperhidrosis', 'Immunity, Cellular', 'Intelligence', 'Kyphosis', 'Limb Deformities, Congenital', 'Male', 'Muscular Dystrophies', 'Muscular Dystrophies', 'Recurrence', 'Respiratory Tract Infections', 'Scoliosis', 'Syndrome']",ProQuest,"['cellular telephone systems', 'feature space', 'classification methods', 'crossover operator', 'wireless', 'cellular radio systems', 'genetic operators', 'channel capacity', 'pattern recognition', 'evolutionary algorithms', 'cellular network', 'cellular system', 'cellular']",Ullrich congenital muscular dystrophy,"['Congenital', 'hypotonic', 'sclerotic', 'muscular', 'dystrophy']","['cases', 'congenital', 'hypotonic', 'sclerotic', 'muscular', 'dystrophy', 'patients', 'prominent', 'features', 'congenital', 'muscle', 'weakness', 'hypotonia', 'hyperextensibility', 'distal', 'joints', 'contractures', 'proximal', 'joints', 'palate', 'hyperhidrosis', 'posterior', 'protrusion', 'calcaneus', 'progression', 'Muscle', 'biopsies', 'dystrophic', 'changes', 'condition', 'new', 'entity', 'disease', 'little', 'attention', 'present', 'cases', 'superior', 'intelligence', 'tendency', 'upper', 'respiratory', 'tract', 'infections', 'characteristics', 'disorder', 'Insufficient', 'cellular', 'immunity', 'recurrent', 'upper', 'respiratory', 'tract', 'infections', 'pneumonia', 'disease', 'distinct', 'entity', 'multisystemic', 'involvement', 'autosomal', 'recessive', 'trait']"
6,6,http://dialog.proquest.com/professional/docview/581932661?accountid=173210,Congenital atonic-sclerotic muscular dystrophy (Ullrich type),0,"['GOTT, H', 'JOSTEN, E A']","['Humans', 'Muscle Hypotonia', 'Muscular Dystrophies, Limb-Girdle', 'Musculoskeletal Abnormalities', 'Myotonia Congenita']",ProQuest,[],Ullrich congenital muscular dystrophy,"['Congenital', 'atonic', 'sclerotic', 'muscular', 'dystrophy', 'type']",[]
7,7,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105773256&origin=inward,Presymptomatic treatment of classic late-infantile neuronal ceroid lipofuscinosis with cerliponase alfa,"© 2021, The Author(s).Background: Neuronal ceroid lipofuscinosis type 2 (CLN2 disease) is a rare rapidly progressive neurodegenerative disorder, resulting in early death. Intracerebroventricular enzyme replacement therapy (ERT) with cerliponase alfa is now available and has shown to delay disease progression in symptomatic patients. It is yet unknown if cerliponase alfa can prevent disease onset in presymptomatic patients. Results: We evaluated the effect of 2 years of intracerebroventricular ERT in two siblings with CLN2 disease, one symptomatic (age 47 months) and one presymptomatic (age 23 months) at treatment start, using the CLN2 Clinical Rating Scale (CLN2 CRS), Gross Motor Function Measure-66 (GMFM-66) for motor function, Bayley Scales of Infant and Toddler Development, 3rd Edition, Dutch (BSID-III-NL) for neurocognitive development, brain MRI, and visual evoked potentials (VEP), electroretinogram (ERG) and retinoscopy for visual function. On the CLN2 CRS patient 1 showed a decline from 3 to 2 in the combined motor and language score due to regression in language use (CLN2 CRS total score after 2 years of treatment: 8), whereas a decline of 2 or more points in the combined motor and language score would be expected without treatment. Patient 2 retained the maximum score of 3 in all 4 subdomains (CLN2 CRS total score after 2 years of treatment: 12). The GMFM-66 total score declined from 46 to 39 in patient 1 and showed an age-appropriate increase from 66 to 84 in patient 2. Cognitive-developmental age decreased from 24 to 11 months in patient 1, whereas an increase in cognitive-developmental age from 21 to 39 months was seen in patient 2. Cerebral and cerebellar atrophy observed on MRI in patient 1 at age 42 months (before treatment) was not observed in patient 2 at age 48 months (after 2 years of treatment). Conclusion: We show that cerliponase alfa is able to delay the onset of symptoms when treatment is started in a presymptomatic stage of CLN2 disease. Our results advocate the start of treatment at an early age before symptom onset, but should be confirmed in a larger cohort study.",0,0,scopus,"['process engineering', 'recommendation algorithms', 'recommendation', 'development processes', 'recommender systems', 'software design', 'correlation analysis', 'visual informations', 'visual communication', 'regression model', 'user rating']",Ullrich congenital muscular dystrophy,"['Presymptomatic', 'treatment', 'classic', 'late', 'infantile', 'neuronal', 'ceroid', 'lipofuscinosis', 'cerliponase', 'alfa']","['Author(s).Background', 'Neuronal', 'ceroid', 'lipofuscinosis', 'type', 'disease', 'rare', 'progressive', 'neurodegenerative', 'disorder', 'early', 'death', 'Intracerebroventricular', 'enzyme', 'replacement', 'therapy', 'cerliponase', 'alfa', 'available', 'disease', 'progression', 'symptomatic', 'patients', 'unknown', 'cerliponase', 'alfa', 'disease', 'onset', 'presymptomatic', 'patients', 'Results', 'effect', 'years', 'intracerebroventricular', 'siblings', 'disease', 'symptomatic', 'age', 'months', 'presymptomatic', 'age', 'months', 'treatment', 'start', 'Measure-66', 'motor', 'function', 'neurocognitive', 'development', 'brain', 'visual', 'potentials', 'electroretinogram', 'retinoscopy', 'visual', 'function', 'patient', 'decline', 'combined', 'motor', 'language', 'score', 'regression', 'language', 'use', 'total', 'score', 'years', 'treatment', 'decline', 'more', 'points', 'combined', 'motor', 'language', 'score', 'treatment', 'Patient', 'maximum', 'score', 'subdomains', 'total', 'score', 'years', 'treatment', 'total', 'score', 'patient', 'age', 'appropriate', 'increase', 'patient', 'Cognitive', 'developmental', 'age', 'months', 'patient', 'increase', 'cognitive', 'developmental', 'age', 'months', 'patient', 'Cerebral', 'cerebellar', 'atrophy', 'patient', 'age', 'months', 'treatment', 'patient', 'age', 'months', 'years', 'treatment', 'Conclusion', 'cerliponase', 'alfa', 'able', 'onset', 'symptoms', 'treatment', 'presymptomatic', 'stage', 'disease', 'results', 'start', 'treatment', 'early', 'age', 'symptom', 'onset', 'larger', 'cohort', 'study']"
8,8,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105550985&origin=inward,Study of the collagen type VI alpha 3 (COL6A3) gene in Parkinson’s disease,"© 2021, The Author(s).Background: To date, the genetic contribution to Parkinson’s disease (PD) remains unclear. Mutations in the collagen type VI alpha 3 (COL6A3) gene were recently identified as a cause of isolated dystonia. Since PD and dystonia are closely related disorders with shared clinical and genetic characteristics, we explored the association between COL6A3 and PD in a Chinese cohort. Methods: We performed genetic screening of COL6A3 in a Chinese cohort of 173 patients with sporadic PD and 200 healthy controls. We identified variants that are likely to have pathogenic effects based on: 1) a minor allele frequency of < 0.01; and 2) the variant being recognized as deleterious by at least 15 different in silico predicting tools. Finally, we tested the aggregate burden of COL6A3 on PD via SKAT-O analysis. Results: First, we found compound heterozygous COL6A3 gene mutations in one early-onset PD patients. Then, we explored whether COL6A3 variants contributed to increased risk of developing PD in a Chinese population. We detected 21 rare non-synonymous variants. Pathogenicity predictions identified 7 novel non-synonymous variants as likely to be pathogenic. SKAT-O analysis further revealed that an aggregate burden of variants in COL6A3 contributes to PD (p = 0.038). Conclusion: An increased aggregate burden of the COL6A3 gene was detected in patients with PD.",0,0,scopus,"['variable frequency oscillators', 'bandwidth', 'visualization tools', 'visualization', 'correlation analysis', 'frequencies', 'output frequency', 'mathematics']",Ullrich congenital muscular dystrophy,"['Study', 'collagen', 'type', 'alpha', 'gene', 'disease']","['Author(s).Background', 'date', 'genetic', 'contribution', 'disease', 'PD', 'unclear', 'Mutations', 'collagen', 'type', 'alpha', 'gene', 'cause', 'isolated', 'dystonia', 'dystonia', 'related', 'disorders', 'clinical', 'genetic', 'characteristics', 'association', 'PD', 'Chinese', 'cohort', 'Methods', 'genetic', 'screening', 'Chinese', 'cohort', 'patients', 'sporadic', 'PD', 'healthy', 'controls', 'variants', 'likely', 'pathogenic', 'effects', 'minor', 'allele', 'frequency', 'variant', 'being', 'deleterious', 'different', 'silico', 'predicting', 'tools', 'aggregate', 'burden', 'O', 'analysis', 'Results', 'compound', 'heterozygous', 'gene', 'mutations', 'early', 'onset', 'PD', 'patients', 'variants', 'risk', 'PD', 'Chinese', 'population', 'rare', 'non', '-', 'synonymous', 'variants', 'Pathogenicity', 'predictions', 'novel', 'non', '-', 'synonymous', 'variants', 'likely', 'pathogenic', 'SKAT', 'O', 'analysis', 'aggregate', 'burden', 'variants', 'contributes', 'p', 'Conclusion', 'aggregate', 'burden', 'gene', 'patients']"
9,9,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103407881&origin=inward,Extracellular matrix: an important regulator of cell functions and skeletal muscle development,"© 2021, The Author(s).Extracellular matrix (ECM) is a kind of connective tissue in the cell microenvironment, which is of great significance to tissue development. ECM in muscle fiber niche consists of three layers: the epimysium, the perimysium, and the endomysium (basal lamina). These three layers of connective tissue structure can not only maintain the morphology of skeletal muscle, but also play an important role in the physiological functions of muscle cells, such as the transmission of mechanical force, the regeneration of muscle fiber, and the formation of neuromuscular junction. In this paper, detailed discussions are made for the structure and key components of ECM in skeletal muscle tissue, the role of ECM in skeletal muscle development, and the application of ECM in biomedical engineering. This review will provide the reader with a comprehensive overview of ECM, as well as a comprehensive understanding of the structure, physiological function, and application of ECM in skeletal muscle tissue.",0,0,scopus,"['single-mode optical fiber', 'component', 'software', 'optical fibers', 'optical materials', 'engineering', 'sensors', 'single mode fibers', 'optical fibre']",Ullrich congenital muscular dystrophy,"['Extracellular', 'matrix', 'important', 'regulator', 'cell', 'functions', 'skeletal', 'muscle', 'development']","['matrix', 'kind', 'connective', 'tissue', 'cell', 'microenvironment', 'great', 'significance', 'development', 'ECM', 'muscle', 'fiber', 'niche', 'layers', 'epimysium', 'perimysium', 'endomysium', 'basal', 'lamina', 'layers', 'connective', 'tissue', 'structure', 'morphology', 'skeletal', 'muscle', 'important', 'role', 'physiological', 'functions', 'muscle', 'cells', 'such', 'transmission', 'mechanical', 'force', 'regeneration', 'muscle', 'fiber', 'formation', 'neuromuscular', 'junction', 'paper', 'detailed', 'discussions', 'structure', 'key', 'components', 'skeletal', 'muscle', 'tissue', 'role', 'skeletal', 'muscle', 'development', 'application', 'biomedical', 'engineering', 'review', 'reader', 'comprehensive', 'overview', 'comprehensive', 'understanding', 'structure', 'physiological', 'function', 'application', 'skeletal', 'muscle', 'tissue']"
